session_id,user_id,session_start_ts,traffic_source,device_type,landing_page
s_21_12_9049,21,2026-03-01 20:10:49,instagram,tablet,campaign
s_224_2_4816,224,2026-03-01 21:26:53,linkedin,mobile,home
s_74_2_7585,74,2026-03-01 21:39:44,newsletter,mobile,search
s_244_1_8325,244,2026-03-01 21:48:21,google,tablet,campaign
s_231_4_7342,231,2026-03-01 21:48:25,google,desktop,search
s_224_9_4176,224,2026-03-01 21:52:34,google,desktop,campaign
s_224_5_5185,224,2026-03-01 22:26:24,newsletter,mobile,product
s_188_2_1630,188,2026-03-02 00:46:03,affiliate,tablet,search
s_215_5_6265,215,2026-03-02 00:49:57,direct,mobile,search
s_93_5_9263,93,2026-03-02 01:06:45,google,tablet,product
s_235_1_3384,235,2026-03-02 01:17:10,direct,mobile,campaign
s_223_3_2832,223,2026-03-02 01:17:55,affiliate,mobile,product
s_91_1_9317,91,2026-03-02 01:45:40,newsletter,mobile,home
s_149_0_3887,149,2026-03-02 01:49:51,instagram,mobile,search
s_134_3_7541,134,2026-03-02 01:56:01,affiliate,desktop,home
s_225_6_7850,225,2026-03-02 02:08:00,affiliate,tablet,search
s_95_7_8393,95,2026-03-02 02:15:24,linkedin,tablet,campaign
s_254_1_1932,254,2026-03-02 03:21:33,newsletter,tablet,home
s_2_10_8930,2,2026-03-02 03:30:21,instagram,desktop,search
s_196_6_6594,196,2026-03-02 04:20:29,newsletter,desktop,product
s_120_2_9935,120,2026-03-02 04:42:48,google,desktop,home
s_84_7_8612,84,2026-03-02 04:49:21,instagram,desktop,search
s_86_3_8167,86,2026-03-02 04:58:21,direct,desktop,campaign
s_109_6_2777,109,2026-03-02 05:22:04,google,desktop,product
s_73_2_7116,73,2026-03-02 05:59:59,affiliate,tablet,search
s_108_6_1188,108,2026-03-02 06:01:15,affiliate,mobile,home
s_205_12_3111,205,2026-03-02 06:03:23,instagram,mobile,home
s_19_0_6065,19,2026-03-02 06:07:10,newsletter,desktop,campaign
s_268_8_7371,268,2026-03-02 06:41:35,instagram,desktop,campaign
s_187_9_6549,187,2026-03-02 06:42:23,google,desktop,campaign
s_214_13_1602,214,2026-03-02 06:49:53,instagram,tablet,product
s_127_12_2983,127,2026-03-02 07:39:19,instagram,tablet,campaign
s_159_5_2579,159,2026-03-02 07:45:16,linkedin,mobile,product
s_191_8_6759,191,2026-03-02 08:29:49,instagram,desktop,campaign
s_164_1_6228,164,2026-03-02 08:35:31,affiliate,mobile,product
s_242_3_9747,242,2026-03-02 08:41:00,direct,mobile,product
s_235_4_6494,235,2026-03-02 09:04:50,direct,mobile,search
s_230_2_1989,230,2026-03-02 09:14:44,newsletter,desktop,product
s_31_9_7849,31,2026-03-02 09:30:48,google,desktop,home
s_27_3_5727,27,2026-03-02 10:06:11,linkedin,mobile,product
s_197_1_5374,197,2026-03-02 10:36:38,instagram,desktop,search
s_253_1_9886,253,2026-03-02 10:39:28,newsletter,tablet,search
s_181_4_4554,181,2026-03-02 11:44:45,google,tablet,search
s_14_1_1798,14,2026-03-02 11:57:38,instagram,desktop,campaign
s_242_10_1592,242,2026-03-02 12:07:05,newsletter,tablet,product
s_153_2_1029,153,2026-03-02 12:37:05,affiliate,mobile,campaign
s_242_5_5758,242,2026-03-02 12:44:05,direct,mobile,search
s_20_9_5142,20,2026-03-02 13:14:42,direct,tablet,home
s_259_2_8785,259,2026-03-02 13:31:26,google,tablet,product
s_204_4_5096,204,2026-03-02 13:48:48,linkedin,desktop,search
s_227_8_2604,227,2026-03-02 14:33:06,direct,mobile,campaign
s_148_1_3835,148,2026-03-02 14:39:11,linkedin,tablet,campaign
s_42_7_9278,42,2026-03-02 14:55:45,newsletter,desktop,search
s_188_7_8447,188,2026-03-02 16:50:45,google,tablet,product
s_249_0_4305,249,2026-03-02 17:29:23,instagram,tablet,home
s_158_6_1182,158,2026-03-02 17:38:49,newsletter,desktop,home
s_35_1_5075,35,2026-03-02 19:32:58,linkedin,tablet,product
s_234_3_1588,234,2026-03-02 19:57:31,google,mobile,product
s_56_6_7163,56,2026-03-02 20:01:21,direct,mobile,campaign
s_266_6_7320,266,2026-03-02 20:03:30,newsletter,desktop,home
s_152_1_9311,152,2026-03-02 20:12:51,instagram,tablet,campaign
s_89_7_2607,89,2026-03-02 20:23:31,instagram,tablet,campaign
s_77_2_4290,77,2026-03-02 20:23:49,google,desktop,product
s_286_5_9883,286,2026-03-02 20:36:48,google,desktop,home
s_17_18_7960,17,2026-03-02 20:42:57,affiliate,tablet,campaign
s_235_6_1309,235,2026-03-02 20:43:47,newsletter,desktop,campaign
s_2_5_5343,2,2026-03-02 21:00:45,linkedin,mobile,home
s_42_8_3939,42,2026-03-02 21:56:44,google,tablet,product
s_258_6_7948,258,2026-03-02 21:58:37,google,desktop,home
s_137_2_9700,137,2026-03-02 22:38:33,linkedin,mobile,search
s_73_7_1108,73,2026-03-02 22:59:36,linkedin,mobile,search
s_144_8_1739,144,2026-03-02 23:21:02,google,mobile,product
s_138_6_8129,138,2026-03-03 00:09:59,affiliate,mobile,search
s_1_10_5091,1,2026-03-03 00:45:36,google,desktop,product
s_126_1_4759,126,2026-03-03 01:00:45,instagram,mobile,product
s_228_6_3946,228,2026-03-03 01:24:02,google,desktop,campaign
s_51_2_7819,51,2026-03-03 01:25:21,instagram,tablet,home
s_11_11_4766,11,2026-03-03 01:38:20,google,desktop,home
s_33_13_9415,33,2026-03-03 02:17:34,google,tablet,product
s_214_5_2713,214,2026-03-03 03:05:38,google,desktop,home
s_139_7_1516,139,2026-03-03 03:06:33,affiliate,tablet,product
s_214_1_9454,214,2026-03-03 03:32:51,google,desktop,home
s_120_10_8973,120,2026-03-03 03:56:11,direct,mobile,product
s_193_11_3702,193,2026-03-03 04:07:16,google,mobile,product
s_103_1_5499,103,2026-03-03 04:08:20,google,desktop,search
s_96_3_6266,96,2026-03-03 04:53:36,linkedin,desktop,home
s_139_8_4710,139,2026-03-03 05:17:28,affiliate,mobile,campaign
s_198_3_6581,198,2026-03-03 05:32:44,direct,tablet,product
s_174_5_4963,174,2026-03-03 05:40:22,newsletter,mobile,product
s_30_4_4613,30,2026-03-03 06:03:33,affiliate,tablet,product
s_36_1_4055,36,2026-03-03 06:29:09,linkedin,tablet,search
s_290_9_6458,290,2026-03-03 06:55:05,affiliate,mobile,campaign
s_174_6_7398,174,2026-03-03 07:18:54,linkedin,mobile,search
s_227_5_7407,227,2026-03-03 08:04:51,direct,tablet,home
s_41_4_1773,41,2026-03-03 08:14:39,newsletter,desktop,home
s_72_6_9290,72,2026-03-03 09:26:26,affiliate,tablet,home
s_65_6_9659,65,2026-03-03 09:44:23,instagram,mobile,home
s_108_0_3641,108,2026-03-03 09:44:49,affiliate,desktop,campaign
s_217_11_1142,217,2026-03-03 09:56:16,direct,mobile,home
s_5_11_8081,5,2026-03-03 09:59:14,affiliate,tablet,home
s_51_3_2336,51,2026-03-03 10:15:34,instagram,tablet,campaign
s_157_3_5320,157,2026-03-03 10:41:18,google,mobile,campaign
s_93_3_4277,93,2026-03-03 11:37:03,affiliate,mobile,search
s_170_4_9314,170,2026-03-03 11:42:46,affiliate,desktop,home
s_85_12_6540,85,2026-03-03 12:55:56,google,tablet,home
s_279_7_1001,279,2026-03-03 13:45:11,affiliate,tablet,home
s_209_6_5687,209,2026-03-03 14:00:47,linkedin,mobile,search
s_119_2_9156,119,2026-03-03 14:57:15,google,desktop,home
s_119_4_4506,119,2026-03-03 15:04:31,affiliate,tablet,search
s_206_2_4268,206,2026-03-03 15:39:17,google,tablet,home
s_172_3_6851,172,2026-03-03 15:46:56,linkedin,mobile,home
s_262_0_3463,262,2026-03-03 15:48:32,google,mobile,product
s_231_0_5830,231,2026-03-03 16:03:40,google,desktop,home
s_196_8_6245,196,2026-03-03 16:49:00,linkedin,mobile,home
s_91_6_9687,91,2026-03-03 17:03:15,affiliate,mobile,search
s_231_3_2607,231,2026-03-03 17:24:30,newsletter,desktop,product
s_190_3_6607,190,2026-03-03 17:24:47,google,tablet,home
s_50_3_3036,50,2026-03-03 18:17:06,linkedin,desktop,campaign
s_84_1_8926,84,2026-03-03 18:40:42,instagram,mobile,campaign
s_236_7_5050,236,2026-03-03 20:15:29,affiliate,desktop,product
s_276_6_9848,276,2026-03-03 20:19:28,google,desktop,search
s_291_5_6090,291,2026-03-03 20:58:43,google,desktop,product
s_276_12_1910,276,2026-03-03 21:28:24,newsletter,mobile,home
s_81_8_7109,81,2026-03-03 21:39:03,instagram,tablet,product
s_133_6_1517,133,2026-03-03 21:44:37,google,mobile,campaign
s_144_4_6406,144,2026-03-03 22:34:33,google,mobile,campaign
s_88_6_6558,88,2026-03-03 22:59:50,affiliate,desktop,search
s_208_2_8861,208,2026-03-04 01:32:48,google,desktop,product
s_232_0_4816,232,2026-03-04 02:38:54,google,mobile,home
s_177_3_9260,177,2026-03-04 02:46:28,instagram,mobile,campaign
s_60_0_6682,60,2026-03-04 02:50:57,direct,mobile,product
s_118_9_5125,118,2026-03-04 03:30:45,instagram,tablet,home
s_214_6_5496,214,2026-03-04 04:12:54,direct,tablet,home
s_242_17_5795,242,2026-03-04 04:31:10,affiliate,desktop,product
s_100_12_9255,100,2026-03-04 05:41:02,direct,tablet,search
s_225_9_2720,225,2026-03-04 05:43:28,instagram,mobile,campaign
s_112_3_3801,112,2026-03-04 05:59:55,direct,desktop,search
s_200_7_1344,200,2026-03-04 06:14:59,direct,mobile,product
s_164_0_5084,164,2026-03-04 06:16:15,linkedin,tablet,campaign
s_110_2_1249,110,2026-03-04 06:21:24,direct,mobile,search
s_219_3_8168,219,2026-03-04 06:23:18,direct,tablet,home
s_252_1_5527,252,2026-03-04 06:36:59,linkedin,tablet,campaign
s_120_4_4751,120,2026-03-04 06:59:29,direct,tablet,home
s_27_2_8614,27,2026-03-04 07:07:42,instagram,mobile,campaign
s_63_1_4466,63,2026-03-04 08:12:09,newsletter,desktop,search
s_63_14_2565,63,2026-03-04 08:55:40,direct,desktop,product
s_275_6_1012,275,2026-03-04 09:02:49,affiliate,desktop,home
s_61_6_4176,61,2026-03-04 09:10:46,newsletter,desktop,home
s_221_0_8942,221,2026-03-04 10:16:48,affiliate,mobile,product
s_261_0_4376,261,2026-03-04 10:26:06,direct,tablet,product
s_236_0_5139,236,2026-03-04 10:49:46,newsletter,mobile,campaign
s_82_11_7867,82,2026-03-04 10:55:34,newsletter,mobile,product
s_64_11_8533,64,2026-03-04 11:01:29,newsletter,tablet,product
s_240_4_6875,240,2026-03-04 11:33:54,newsletter,tablet,search
s_277_0_6305,277,2026-03-04 11:39:48,affiliate,desktop,home
s_230_10_2524,230,2026-03-04 11:50:02,linkedin,desktop,product
s_205_10_1863,205,2026-03-04 12:36:30,instagram,mobile,home
s_184_9_4871,184,2026-03-04 12:55:58,instagram,mobile,home
s_25_7_1697,25,2026-03-04 13:24:52,newsletter,tablet,product
s_132_3_3097,132,2026-03-04 13:56:37,direct,tablet,campaign
s_95_1_8256,95,2026-03-04 14:09:40,linkedin,desktop,product
s_209_4_1080,209,2026-03-04 14:53:28,newsletter,mobile,product
s_251_3_6751,251,2026-03-04 14:58:14,direct,tablet,home
s_224_4_6062,224,2026-03-04 15:32:54,google,desktop,campaign
s_207_7_9943,207,2026-03-04 16:19:33,instagram,mobile,home
s_116_6_8128,116,2026-03-04 16:25:15,newsletter,tablet,home
s_238_6_1044,238,2026-03-04 16:28:46,newsletter,mobile,home
s_121_1_7400,121,2026-03-04 16:42:14,direct,mobile,home
s_231_5_3722,231,2026-03-04 17:06:46,affiliate,desktop,product
s_147_5_4399,147,2026-03-04 17:47:57,linkedin,tablet,home
s_59_9_5661,59,2026-03-04 18:28:32,newsletter,tablet,search
s_113_3_7264,113,2026-03-04 18:58:03,linkedin,tablet,search
s_47_6_5194,47,2026-03-04 19:05:32,google,desktop,campaign
s_292_7_7794,292,2026-03-04 20:05:52,google,tablet,campaign
s_201_8_2572,201,2026-03-04 20:20:05,newsletter,desktop,product
s_158_2_4764,158,2026-03-04 21:58:01,affiliate,tablet,home
s_131_7_7182,131,2026-03-04 22:08:32,affiliate,desktop,home
s_15_2_2126,15,2026-03-04 22:32:04,newsletter,mobile,campaign
s_113_8_9654,113,2026-03-04 23:37:38,linkedin,tablet,home
s_162_7_1634,162,2026-03-04 23:57:26,linkedin,mobile,campaign
s_207_8_5565,207,2026-03-05 00:15:01,affiliate,desktop,product
s_139_0_2670,139,2026-03-05 00:15:07,instagram,tablet,home
s_183_1_7757,183,2026-03-05 00:24:32,instagram,mobile,search
s_275_12_4204,275,2026-03-05 01:41:45,instagram,mobile,home
s_106_5_7388,106,2026-03-05 02:11:45,linkedin,mobile,product
s_242_4_7204,242,2026-03-05 03:04:02,newsletter,desktop,home
s_91_9_9278,91,2026-03-05 03:04:11,google,tablet,search
s_125_10_4548,125,2026-03-05 03:19:19,newsletter,mobile,campaign
s_107_7_4046,107,2026-03-05 03:31:12,linkedin,tablet,campaign
s_228_7_8617,228,2026-03-05 03:50:24,instagram,tablet,search
s_123_5_4835,123,2026-03-05 03:50:34,google,mobile,campaign
s_263_2_1832,263,2026-03-05 03:55:04,google,tablet,product
s_282_5_1471,282,2026-03-05 05:32:27,affiliate,tablet,product
s_156_4_4467,156,2026-03-05 05:33:35,newsletter,desktop,home
s_155_10_9231,155,2026-03-05 05:35:52,google,tablet,home
s_124_7_8349,124,2026-03-05 05:42:01,linkedin,desktop,campaign
s_6_8_9659,6,2026-03-05 06:08:59,linkedin,tablet,search
s_69_0_1563,69,2026-03-05 06:19:41,affiliate,tablet,campaign
s_123_4_4576,123,2026-03-05 06:43:34,linkedin,tablet,product
s_237_4_8932,237,2026-03-05 06:46:48,linkedin,tablet,campaign
s_245_5_3252,245,2026-03-05 06:48:07,instagram,desktop,home
s_223_7_2345,223,2026-03-05 07:18:25,direct,tablet,search
s_187_8_9324,187,2026-03-05 07:23:20,linkedin,tablet,search
s_119_6_1543,119,2026-03-05 07:35:49,google,mobile,home
s_295_7_9190,295,2026-03-05 09:06:17,newsletter,tablet,product
s_178_3_5646,178,2026-03-05 09:25:38,google,mobile,search
s_194_6_7885,194,2026-03-05 09:27:07,instagram,desktop,product
s_124_6_9826,124,2026-03-05 09:37:07,direct,tablet,home
s_278_7_4739,278,2026-03-05 10:24:46,newsletter,desktop,home
s_278_8_4360,278,2026-03-05 10:41:37,instagram,desktop,campaign
s_231_11_1447,231,2026-03-05 11:06:10,google,desktop,campaign
s_177_7_3618,177,2026-03-05 11:27:27,newsletter,tablet,product
s_108_1_6465,108,2026-03-05 12:11:43,direct,desktop,home
s_265_2_3198,265,2026-03-05 13:10:24,newsletter,desktop,search
s_144_2_7700,144,2026-03-05 15:17:53,instagram,desktop,search
s_114_5_5395,114,2026-03-05 15:36:13,affiliate,tablet,product
s_18_9_7555,18,2026-03-05 15:39:00,direct,desktop,product
s_231_8_5800,231,2026-03-05 15:52:46,direct,mobile,home
s_68_1_4216,68,2026-03-05 16:01:20,affiliate,desktop,product
s_195_6_9393,195,2026-03-05 16:08:14,newsletter,tablet,campaign
s_16_5_1975,16,2026-03-05 16:42:52,direct,desktop,search
s_188_10_5365,188,2026-03-05 16:50:12,affiliate,mobile,campaign
s_75_6_9903,75,2026-03-05 17:30:30,linkedin,desktop,product
s_115_0_5497,115,2026-03-05 17:34:14,affiliate,tablet,campaign
s_85_10_7540,85,2026-03-05 18:20:59,google,mobile,home
s_12_1_5110,12,2026-03-05 18:45:25,newsletter,tablet,search
s_225_11_6786,225,2026-03-05 19:24:41,direct,desktop,search
s_131_1_8358,131,2026-03-05 20:27:26,newsletter,desktop,search
s_57_5_2717,57,2026-03-05 20:41:13,linkedin,desktop,home
s_108_8_1905,108,2026-03-05 22:10:11,google,mobile,home
s_93_6_4471,93,2026-03-05 23:27:31,newsletter,desktop,product
s_79_11_6644,79,2026-03-06 00:39:52,instagram,mobile,product
s_296_3_2344,296,2026-03-06 01:07:08,instagram,mobile,campaign
s_279_3_4506,279,2026-03-06 01:44:28,affiliate,tablet,home
s_40_4_7155,40,2026-03-06 02:05:57,linkedin,desktop,product
s_63_9_8081,63,2026-03-06 02:16:07,linkedin,tablet,search
s_159_9_1934,159,2026-03-06 02:24:35,newsletter,mobile,product
s_56_4_8045,56,2026-03-06 02:42:41,linkedin,mobile,product
s_234_4_6149,234,2026-03-06 02:46:56,affiliate,tablet,home
s_256_10_9646,256,2026-03-06 02:56:32,newsletter,mobile,product
s_296_6_7386,296,2026-03-06 03:46:14,newsletter,desktop,campaign
s_268_2_3670,268,2026-03-06 03:53:00,newsletter,tablet,product
s_61_0_5891,61,2026-03-06 03:58:15,linkedin,desktop,home
s_289_0_8680,289,2026-03-06 04:08:57,linkedin,desktop,home
s_104_2_5172,104,2026-03-06 04:28:27,affiliate,mobile,home
s_66_3_3133,66,2026-03-06 04:33:42,google,desktop,search
s_230_8_8407,230,2026-03-06 04:35:39,google,mobile,home
s_25_8_9642,25,2026-03-06 05:09:55,affiliate,mobile,search
s_1_8_8202,1,2026-03-06 05:17:10,google,tablet,campaign
s_250_2_2203,250,2026-03-06 05:50:59,instagram,desktop,home
s_97_3_7727,97,2026-03-06 05:51:16,instagram,mobile,campaign
s_223_5_1831,223,2026-03-06 06:00:16,google,desktop,product
s_189_4_6409,189,2026-03-06 06:11:00,linkedin,mobile,product
s_54_4_6474,54,2026-03-06 07:07:18,linkedin,tablet,product
s_24_5_8284,24,2026-03-06 07:10:07,affiliate,tablet,home
s_256_6_5475,256,2026-03-06 07:39:22,newsletter,desktop,home
s_189_1_1828,189,2026-03-06 07:57:31,google,desktop,home
s_242_11_2410,242,2026-03-06 08:08:12,instagram,desktop,product
s_258_8_9310,258,2026-03-06 08:50:47,direct,mobile,product
s_173_0_1194,173,2026-03-06 09:02:21,google,mobile,product
s_12_0_3628,12,2026-03-06 09:47:02,instagram,desktop,home
s_42_3_9665,42,2026-03-06 09:48:03,google,tablet,home
s_168_5_5728,168,2026-03-06 10:35:59,direct,desktop,home
s_21_14_3518,21,2026-03-06 11:35:45,instagram,mobile,search
s_235_2_8112,235,2026-03-06 11:39:42,linkedin,desktop,campaign
s_260_9_8425,260,2026-03-06 11:42:58,newsletter,tablet,campaign
s_224_1_1144,224,2026-03-06 11:45:07,instagram,tablet,home
s_21_6_4839,21,2026-03-06 11:57:15,instagram,tablet,product
s_114_3_4252,114,2026-03-06 12:06:19,direct,tablet,campaign
s_45_0_7651,45,2026-03-06 13:43:42,google,desktop,search
s_3_2_6097,3,2026-03-06 14:11:27,direct,mobile,campaign
s_100_6_8119,100,2026-03-06 14:12:02,direct,tablet,home
s_263_6_4267,263,2026-03-06 15:37:57,google,mobile,product
s_61_1_3755,61,2026-03-06 15:52:51,newsletter,tablet,home
s_171_4_2827,171,2026-03-06 15:53:53,google,tablet,home
s_31_6_6764,31,2026-03-06 16:16:57,google,mobile,product
s_300_5_1549,300,2026-03-06 16:30:24,affiliate,mobile,campaign
s_233_6_1505,233,2026-03-06 16:31:48,linkedin,mobile,product
s_96_0_9929,96,2026-03-06 16:35:27,affiliate,tablet,product
s_136_2_1010,136,2026-03-06 16:50:29,instagram,desktop,home
s_113_9_3019,113,2026-03-06 17:09:03,linkedin,mobile,search
s_248_5_6379,248,2026-03-06 17:46:17,linkedin,tablet,product
s_14_2_6271,14,2026-03-06 17:47:45,linkedin,desktop,search
s_182_1_5912,182,2026-03-06 18:13:32,linkedin,tablet,campaign
s_245_1_5259,245,2026-03-06 18:17:52,google,desktop,campaign
s_30_7_8555,30,2026-03-06 18:27:11,affiliate,desktop,search
s_29_7_4313,29,2026-03-06 18:43:36,google,desktop,home
s_95_6_1551,95,2026-03-06 19:05:39,affiliate,mobile,home
s_172_6_9060,172,2026-03-06 19:07:46,instagram,desktop,product
s_184_2_6281,184,2026-03-06 19:32:11,newsletter,mobile,product
s_214_4_6766,214,2026-03-06 19:37:01,linkedin,tablet,search
s_114_20_7528,114,2026-03-06 19:48:05,affiliate,mobile,search
s_74_1_5240,74,2026-03-06 20:06:51,google,mobile,home
s_142_7_1524,142,2026-03-06 21:29:37,newsletter,tablet,home
s_216_9_2203,216,2026-03-06 21:56:30,affiliate,mobile,product
s_294_7_6653,294,2026-03-06 22:31:40,linkedin,mobile,campaign
s_106_3_7653,106,2026-03-06 23:34:51,affiliate,desktop,search
s_55_1_1558,55,2026-03-07 00:06:25,affiliate,tablet,search
s_90_7_3538,90,2026-03-07 00:12:34,instagram,mobile,search
s_231_6_5419,231,2026-03-07 00:14:39,newsletter,mobile,search
s_174_3_8994,174,2026-03-07 00:36:39,affiliate,mobile,search
s_297_3_9659,297,2026-03-07 00:54:00,affiliate,mobile,product
s_172_4_5840,172,2026-03-07 01:30:26,linkedin,mobile,search
s_24_0_4794,24,2026-03-07 01:46:58,linkedin,tablet,product
s_75_2_3836,75,2026-03-07 02:06:14,instagram,desktop,search
s_27_4_4423,27,2026-03-07 02:17:27,newsletter,tablet,product
s_162_2_5910,162,2026-03-07 02:30:38,newsletter,desktop,home
s_202_6_7063,202,2026-03-07 03:02:46,google,tablet,home
s_124_0_6149,124,2026-03-07 03:28:11,google,mobile,home
s_73_6_3998,73,2026-03-07 05:29:51,linkedin,tablet,campaign
s_244_5_7272,244,2026-03-07 05:47:02,newsletter,mobile,campaign
s_114_2_6377,114,2026-03-07 05:52:02,google,tablet,home
s_41_10_9529,41,2026-03-07 08:04:06,linkedin,desktop,campaign
s_112_0_4625,112,2026-03-07 09:08:50,instagram,tablet,campaign
s_27_7_2212,27,2026-03-07 09:49:05,instagram,desktop,campaign
s_281_1_3301,281,2026-03-07 10:02:13,google,desktop,product
s_76_6_4097,76,2026-03-07 10:03:28,affiliate,mobile,home
s_299_1_1571,299,2026-03-07 10:11:17,newsletter,mobile,home
s_204_0_8281,204,2026-03-07 10:36:01,direct,desktop,home
s_280_0_3176,280,2026-03-07 10:49:25,instagram,desktop,product
s_35_6_8376,35,2026-03-07 11:33:00,newsletter,tablet,product
s_23_0_7712,23,2026-03-07 11:46:08,instagram,mobile,search
s_257_0_6832,257,2026-03-07 12:51:02,instagram,tablet,product
s_122_1_6029,122,2026-03-07 13:50:51,newsletter,tablet,search
s_51_4_2871,51,2026-03-07 13:53:05,direct,tablet,product
s_124_2_9717,124,2026-03-07 14:39:29,newsletter,desktop,campaign
s_153_0_6294,153,2026-03-07 15:08:11,linkedin,tablet,product
s_194_0_9892,194,2026-03-07 15:29:59,newsletter,tablet,campaign
s_66_1_8908,66,2026-03-07 15:56:10,linkedin,mobile,search
s_277_3_6568,277,2026-03-07 16:56:13,newsletter,desktop,product
s_250_0_8724,250,2026-03-07 17:53:25,affiliate,tablet,product
s_283_4_9874,283,2026-03-07 18:27:57,newsletter,desktop,product
s_42_6_4432,42,2026-03-07 18:33:24,linkedin,tablet,product
s_195_1_2658,195,2026-03-07 18:51:14,direct,mobile,campaign
s_80_4_5796,80,2026-03-07 19:28:38,instagram,mobile,home
s_154_1_4977,154,2026-03-07 19:55:40,linkedin,mobile,home
s_32_9_2835,32,2026-03-07 20:20:50,linkedin,desktop,home
s_237_8_3763,237,2026-03-07 20:36:52,newsletter,tablet,campaign
s_260_13_2053,260,2026-03-07 21:10:30,linkedin,desktop,home
s_225_3_7974,225,2026-03-07 21:12:29,affiliate,tablet,home
s_266_1_1167,266,2026-03-07 21:19:04,affiliate,mobile,search
s_215_6_7563,215,2026-03-07 21:32:55,linkedin,mobile,product
s_20_5_5116,20,2026-03-07 21:47:20,direct,mobile,campaign
s_285_1_2447,285,2026-03-07 23:12:21,linkedin,mobile,product
s_187_5_1932,187,2026-03-07 23:23:40,instagram,tablet,product
s_233_8_4250,233,2026-03-07 23:54:30,affiliate,tablet,campaign
s_8_5_4623,8,2026-03-07 23:56:29,linkedin,tablet,campaign
s_275_8_4519,275,2026-03-08 00:11:57,instagram,mobile,product
s_133_4_4571,133,2026-03-08 00:12:24,affiliate,tablet,product
s_244_8_3495,244,2026-03-08 01:52:15,affiliate,desktop,campaign
s_226_0_6583,226,2026-03-08 02:46:10,linkedin,mobile,campaign
